Date   NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
193501  -1.36  -9.03  -2.37  -4.17   1.19  -0.46  -4.38  -0.86  -3.16  -6.67
193502   1.65  -3.27  -1.73  -2.93   0.17   1.03  -1.32   4.25 -12.07  -4.65
193503  -4.56  -5.83  -4.80  -3.72  -4.15  -0.70  -4.94  -3.15  12.19  -5.32
193504   5.63   5.70   8.96  14.77  10.25   9.14   6.17   3.18  10.92   8.72
193505   1.14   2.99   1.83   3.68   2.74   8.38   3.35  -4.03  13.81   3.86
193506   5.51   9.71   6.50   1.33   7.68   5.36   3.95   4.09   9.21   6.27
193507   3.05  19.15  10.71   0.48   9.55   5.76   6.52   3.20   9.32   7.28
193508  -1.64   9.03   3.18  -2.06   3.21   4.06   3.53   0.29   7.14   3.33
193509   1.69  11.04   4.19  -3.22   7.70   4.29  -0.27   1.11  -1.68   0.64
193510   4.53  13.67   5.85  13.18   8.80   3.11   4.35   5.97  14.22   2.32
193511   1.15   3.54   4.52   2.61   5.72   9.72   2.68   1.74   0.77  13.15
193512   2.07   5.77   3.69  14.35   3.43  -0.15  -0.87   2.36   5.57   4.30
193601   3.24   3.89   5.56  12.94   6.47   4.17  -3.92   3.46  12.45  12.11
193602   0.70   3.71   5.70   1.26   0.28   6.57   0.49   3.44  -6.43   2.86
193603  -2.03  10.21   2.47   1.70   0.01  -3.36   2.08   3.52   0.64  -2.94
193604  -4.45 -10.14  -8.98  -9.09  -8.73  -5.66  -4.17  -9.20  -8.26  -7.37
193605   4.94   4.07   6.27  -0.48   5.28   6.45   3.58   4.80   9.58   7.47
193606   2.32   6.91   1.16   1.63   1.33   2.42   6.79   1.29   3.56   1.74
193607   2.98   4.91   7.67   4.76  12.14   2.45   4.50   4.66  11.65   9.59
193608   0.83  -0.28   1.64  -0.67   2.47   1.76   2.34  -1.48  -1.09   1.84
193609  -0.65   3.24   2.05   1.37  -1.24   0.35   6.15   0.77  -2.16   0.91
193610   3.37   5.11   7.70  12.52   5.67   5.09   9.47   3.77   5.72   8.14
193611   4.53  -1.40   5.54   1.50   5.48   3.86  11.05   3.39  -2.89   0.56
193612  -1.33  -7.23   1.89   9.25   2.65  -0.40  -8.55  -2.04  -1.66  -1.20
193701   2.40   7.28   4.64   2.40   8.60  -0.85   0.60   3.48   2.43   1.00
193702   0.92  -0.49   2.64   1.47  -1.40  -3.06   2.47  -3.73  -4.21   4.75
193703  -0.97  -4.13   1.43   3.46  -4.47  -2.09  -3.61  -5.03  -6.29   2.61
193704  -6.40  -7.96  -9.16  -5.26  -7.60  -5.24  -6.12  -3.32  -7.40  -6.81
193705  -0.47  -1.97   1.00  -0.23   0.73   1.51  -6.51   1.69  -5.32  -3.33
193706  -3.26 -10.78  -3.66  -2.64  -1.44   1.38  -1.82  -4.13  -5.24  -8.93
193707   5.01  13.22   9.25   8.05   9.53   3.27  10.00   4.15  19.31   8.69
193708  -2.46  -2.25  -4.46  -6.46  -4.76  -2.54  -5.13   1.08 -10.24  -8.37
193709  -9.19 -12.65 -17.40 -12.96 -14.05  -2.10 -12.91 -10.76 -11.69 -15.89
193710  -7.10 -12.89 -13.85  -6.86  -7.17  -5.36  -6.08  -3.55  -4.95 -10.14
193711  -5.87 -15.22  -9.24 -11.26  -4.57  -3.59 -14.75  -5.12   2.88  -6.83
193712  -2.32 -16.23  -2.25  -1.21  -2.18  -1.54  -6.42  -2.41 -10.66  -6.61
193801   2.97  11.05  -1.36   0.46  -2.50  -2.44   6.97   3.52  -5.70   0.55
193802   3.48   3.48   8.59   9.16   4.28  -2.32   8.38   8.60   3.60   4.86
193803 -15.81 -27.30 -25.68 -24.57 -27.70 -17.44 -20.62 -14.44 -19.52 -29.74
193804  12.37  14.87  13.89  14.48  16.78  13.47  15.56  11.83  14.56  14.52
193805  -0.29  -6.92  -6.86  -5.71  -2.99   0.83  -4.02   1.71   2.36  -3.99
193806  13.24  35.95  32.91  21.54  27.27  12.42  22.48  10.07  16.75  24.90
193807   6.64  19.87   6.75   7.14   5.79   1.28   9.42   5.80   0.72   9.96
193808  -4.01   5.96  -1.93  -8.63  -1.15   0.28  -2.90   0.35  -5.54  -3.83
193809   0.52   0.69   1.67   0.85   1.61   0.85  -0.63  -0.02   1.24  -1.29
193810   5.14   6.52  10.59  -1.54  10.08   3.56   7.81   5.64  20.99  11.25
193811  -2.51  -1.21  -1.47  -0.08  -4.40   0.65  -0.66   1.43  -7.02  -2.03
193812   2.76   2.08   5.56   4.91   3.09   2.57   0.19   0.86   3.97   6.40
193901  -1.85  -8.37  -9.27  -6.28  -7.50   1.81  -2.64  -0.96   1.27  -8.75
193902   2.54   7.04   2.99  -1.18   2.75   3.53   5.50   3.73   8.77   4.75
193903  -5.76 -17.64 -15.49  -8.34 -15.03  -2.21  -9.11  -4.33 -13.60 -15.16
193904   0.64   0.72  -1.35  -1.06  -2.71   2.75  -0.23   0.99   3.03  -1.81
193905   5.49   7.88   7.60   2.59   8.26   5.57  10.91   5.49   6.59   8.04
193906  -2.07  -6.79  -6.34  -6.12  -7.99  -3.79  -2.66   1.10  -3.56  -7.80
193907   6.25  17.53  12.85   3.10  14.05   6.51   9.06   3.08  12.67  11.55
193908  -7.34  -6.93  -6.76  -3.84  -8.08  -4.19  -6.63  -5.44  -6.02  -9.93
193909   4.93  23.77  26.97  26.09  12.32   2.37   0.12   7.06   3.59  25.74
193910   3.23  -1.41  -2.58  -3.84  -0.91   3.05   6.13   0.23   2.12  -1.62
193911  -0.48  -2.94  -5.95  -6.46  -2.58   0.97  -2.59   1.22  -1.43  -5.00
193912   3.13   3.86   4.00  -0.05   3.64   2.87   4.05   3.77   2.94   2.34
194001   1.68  -3.89  -4.60  -2.08  -4.21  -0.12  -0.99  -1.79  -0.01  -2.68
194002   0.94   2.08   2.70   0.90  -0.61   1.04   1.16   1.48  -1.20   0.90
194003   1.63   3.77   1.53   1.60   3.09   1.16   3.56   1.90   1.69   2.61
194004   1.74  -0.56   0.75   0.07  -1.42   0.33   0.38  -0.31  -1.36  -0.78
194005 -20.87 -26.04 -22.17 -24.18 -20.80 -14.13 -23.47 -21.20 -19.87 -23.88
194006   5.37   8.66   4.21   5.33   3.03   8.72   8.13   4.90  17.32   8.50
194007   0.01   5.90   4.33   3.20   4.97   1.97   4.72  -0.52   0.06   3.42
194008   1.33   7.43   2.50   1.36   3.32  -0.36   2.50  -2.29  -1.05   2.90
194009   2.57   3.16   4.16  -2.10   4.20   1.66   3.01   4.61  -2.19   2.53
194010  -1.43   3.95   4.07   6.21   2.43   1.61   0.40  -2.99   3.83   5.24
194011  -0.91  -0.61  -1.47   0.78  -2.80   0.61  -1.73  -1.82 -13.10  -0.11
194012   0.55  -3.31   1.15   2.48  -0.04   2.05   0.49  -0.22   1.74   0.25
194101  -0.52  -9.25  -7.04  -2.12  -2.59  -2.10  -3.39  -2.18  -2.15  -1.58
194102  -2.51   1.29  -2.06  -0.69  -0.38  -2.23  -4.00  -4.70  -1.20  -0.32
194103   0.65  -1.72   0.80   3.33   0.35   1.78   1.36   1.77  -3.36   1.84
194104  -4.14 -10.59  -5.71   1.46  -8.84  -6.35  -4.26  -5.22  -9.63  -4.41
194105  -1.37   0.43   3.67   5.49  -0.44   0.40   2.72  -1.43  -4.46  -0.87
194106   6.23   3.89   6.48   5.35  10.78   5.04   5.33   6.71   3.97   4.51
194107   5.56   3.96   7.11  11.26   1.75  -0.38   5.03   8.01   5.37   7.46
194108   0.84   2.36  -0.65  -3.25   0.77   1.06   2.71   0.08  -2.08   0.16
194109   1.80   4.19  -2.90  -0.90  -0.78   0.25   0.24  -0.19  -2.88  -2.59
194110  -6.95  -8.02  -6.42   2.61 -10.23  -2.72  -4.96  -3.68  -9.72  -4.16
194111  -3.04  -3.61  -1.36   3.15  -2.07  -4.03  -3.31  -2.92  -6.71  -1.57
194112  -4.00 -11.83   0.84 -11.00   0.59  -8.59  -8.56  -1.58  -7.48  -5.30
194201   2.48   6.26  -2.21  -1.54   0.97  -1.37  -0.85  -3.02   4.09   9.53
194202  -5.49   5.20  -2.42  -5.75  -2.49  -0.57  -2.23  -5.36  -2.46  -1.85
194203  -8.19   1.43  -5.59  -7.94  -6.27  -6.91  -8.21  -5.53 -12.14  -9.00
194204  -4.10  -4.35  -4.61  -3.43  -3.61  -7.32  -5.39  -4.46  -3.44  -1.98
194205   8.72   9.99   1.71   6.66   7.86   7.72  11.72  14.67   8.40   3.51
194206   3.58   1.74   3.53   4.29   4.54  -2.23   2.29   2.88   1.72   1.96
194207   2.44   2.05   2.76   5.92   1.84   4.48   4.26   1.60  -0.45   6.55
194208   0.88   2.31   1.32   3.40   0.71   2.49   2.44   2.42   0.80   2.44
194209  -0.03   2.57   3.23   2.52   5.16   2.04  -0.07   0.23   5.86   3.37
194210   4.42   5.83   6.68   9.45   6.26   6.19   0.72   4.13  15.19   8.95
194211   2.74  -0.14  -2.36   0.97   2.00   2.63   6.41   1.57  -1.30  -2.10
194212   4.66   8.18   5.25   7.47   6.04   0.35   2.19   8.73   4.36   4.45
194301   9.05   5.24   6.98   6.30   9.88   3.78   7.47   2.46  14.72   7.13
194302   3.68   7.54   5.20   7.86   3.41   8.81   3.08   3.66   7.95   9.44
194303   4.36   5.05   5.99   7.41   7.41   0.62   8.93   4.57   4.71  10.01
194304   1.02   0.51  -1.44   0.73   1.19   4.16   1.77   1.37   4.08   2.22
194305   6.55   6.59   5.34   5.91   6.21   4.57   7.39   5.13   4.55   5.53
194306   2.07   4.88   0.87   1.13   2.41   2.27   4.51   0.50   4.18  -0.79
194307  -1.81  -9.71  -6.78  -2.96  -7.33  -0.18  -2.32  -3.26  -0.54  -5.19
194308   0.90   3.48   0.65   1.01   0.44   0.91   3.14   0.26   1.85   1.39
194309   2.20   1.70   2.67   1.40   5.22   1.45   2.78   4.02   3.89   2.20
194310  -0.26  -1.12  -0.83  -2.02  -3.39   0.73  -3.33   0.57   0.58  -1.09
194311  -4.50  -5.32  -6.42  -6.78  -6.43  -1.74  -4.23  -3.93  -8.42  -7.96
194312   6.12   7.91   5.87   7.54   7.98   3.14   5.98   3.93   7.46   7.14
194401   3.92   1.00   1.95   0.61   0.61   0.86   1.64   0.31  -0.32   4.51
194402  -0.52   3.68  -0.37   0.08  -2.12   0.88   1.30  -2.62   1.54   2.07
194403   2.86   4.81   2.24   1.85   3.78   0.74   2.02   2.46   1.77   2.63
194404  -1.95  -1.17  -2.04  -1.36  -1.96  -0.57  -1.31  -2.35  -0.93  -2.44
194405   5.32   7.92   5.54   5.00   3.63   2.83   5.58   5.69   2.77   4.28
194406   5.61   9.26   7.11   0.54   7.46   3.25   6.21   3.85   4.92   5.91
194407  -0.36  -4.94  -1.95  -1.21  -1.85  -0.37  -0.25  -1.25   0.22  -0.81
194408   2.53   3.97   2.17  -1.94   1.89   0.67   3.75   0.77   3.65   0.37
194409  -0.17   0.62   0.55  -1.37  -0.66   0.27   1.29   0.44  -1.54   0.11
194410   0.01  -2.76  -0.33   1.87   0.85   0.75   0.48   1.09   1.39   0.70
194411   1.25   2.20   0.85   2.61   1.55   0.70   2.53   0.52  -0.37   4.31
194412   2.06   3.97   4.25   5.12   4.63   0.72   2.98   1.71   3.13   8.44
194501   2.63   1.32   2.80   4.91   0.62  -2.11  -0.97   0.57   5.85   0.62
194502   3.94   7.64   6.92   7.29   6.60   2.85   4.72   4.24   6.12   7.85
194503  -2.99  -6.06  -4.77  -5.23  -3.79  -0.12  -1.21  -1.81  -3.09  -3.54
194504   7.11  11.16   8.41   6.90   8.04   2.51   6.75   6.32  10.06   8.82
194505   2.45   0.77   0.82  -0.83   1.78   3.76   6.24   4.10   1.93   3.07
194506   0.87  -1.57  -0.13  -0.50  -1.90   2.61  -3.51  -4.65   5.02   4.40
194507  -1.43  -0.97  -2.99  -3.25  -1.71   2.20  -0.85  -1.62  -0.42  -5.42
194508   7.69   9.44   8.78   2.24   9.68   1.74   8.40   9.13   1.11   2.53
194509   6.28   2.76   6.15   1.95   3.35   1.90   5.76   6.51   6.57   6.08
194510   6.82   0.20   2.33   6.32   0.76   2.36   6.15   6.52   6.09   5.76
194511   3.71   2.63   4.91   8.33   2.66   3.36   6.46   8.56   4.95   9.14
194512   1.29   2.54   1.54  -0.23   2.56   0.47   2.61   1.46  -1.00   0.14
194601   4.86   6.63   8.06  -0.05   6.49   1.90  10.36   7.86  10.98   7.44
194602  -4.84  -8.93  -6.12  -4.67  -7.42  -2.81  -4.06  -4.28  -5.62  -6.14
194603   6.34   1.00   5.66  11.00   1.98   1.17  12.17  14.61   6.37   4.69
194604   3.55   1.41   4.32   8.78   1.49   1.60   7.54  14.75   4.36   1.74
194605   3.35   5.13   4.99   3.65   5.03   2.83   2.00   5.59   2.96   3.40
194606  -3.58  -5.94  -3.59  -3.12  -5.32   0.32  -7.83  -5.54  -2.90  -3.26
194607  -0.79  -4.76  -3.26  -0.05  -3.38  -0.07  -2.37  -3.23  -3.57  -4.97
194608  -5.28 -10.34  -6.68  -5.59  -6.90  -7.00  -4.89  -3.25  -5.28  -6.78
194609 -10.72 -14.86 -10.38  -8.05  -9.82  -4.72  -6.64  -7.10  -8.96 -14.34
194610   0.36  -3.31  -1.86  -0.66  -2.85  -5.13  -2.67  -0.24   1.44  -0.42
194611  -1.27  -1.14   1.73   0.56  -2.18   1.80  -4.67   1.67   0.76   0.05
194612   3.74   6.19   6.66   4.39   4.81   3.78   4.86   7.27   6.08   2.75
194701   0.25  10.89   0.88  -0.65   5.38   1.03   3.02  -5.27  -0.19   0.46
194702  -0.26   1.50  -0.67  -2.70  -2.04  -2.04  -1.23  -4.18  -0.96  -1.29
194703  -2.19  -2.69  -1.60   2.30  -2.31  -2.14  -2.40  -1.28  -2.76  -3.33
194704  -6.65  -4.10  -5.72  -0.43  -5.16  -0.21  -7.71  -8.62  -3.72  -6.26
194705  -0.49  -2.13  -2.08   2.51  -0.39  -1.09  -1.04  -2.65  -2.46  -2.06
194706   6.49   5.87   5.73   7.74   3.89  -3.18   9.69   4.15   3.93   3.17
194707   4.65   5.18   3.89   3.87   6.34   0.81   4.45   2.60   2.54   5.99
194708  -1.38  -0.75  -1.01  -2.30  -4.21   0.36  -3.52  -3.83   0.24  -3.18
194709   0.39   0.14   0.70  -2.71   1.15   0.84  -2.16  -2.62  -1.31  -0.97
194710   1.36   2.96   3.23   5.24   1.73   0.21   2.71   1.22   0.15   1.00
194711  -1.69  -2.67  -1.18  -0.34  -0.55  -2.57  -1.86  -3.04  -7.60  -1.98
194712   0.69   2.24   2.61   9.29   2.48   0.44   0.11   3.10   1.19   3.70
194801  -2.69  -5.35  -4.07  -7.43  -5.52   0.11  -2.58  -8.23  -0.21  -0.86
194802  -6.11  -5.40  -5.33  -2.96  -3.94  -1.06  -3.90  -3.53  -3.47  -4.10
194803   5.46   7.24   9.61   9.93  11.11   1.96   7.09   6.33   6.61   9.93
194804   1.31   1.16   2.50  11.21  -0.60   2.65   4.40   2.14   1.50   3.24
194805   5.08  14.42   7.86   6.08  12.76   2.49   8.83   6.78   5.74   6.79
194806  -1.99   0.32  -0.98   3.49  -1.42   0.44  -1.00  -2.19   2.59  -0.82
194807  -1.67  -4.37  -4.99  -7.18  -6.60  -1.65  -7.50  -4.25  -4.33  -4.97
194808   0.02   1.13   0.41  -2.01   3.07   0.06   2.27  -1.90   0.09   1.53
194809  -3.95  -3.88  -2.65  -4.46  -3.16  -0.23  -0.93  -3.08  -0.90  -3.42
194810   3.64   7.95   6.68   9.20   6.85   1.11   4.16   5.19   4.40   4.96
194811  -6.17 -11.86 -10.13 -12.18  -9.25  -2.06  -4.50  -5.74  -9.09 -10.58
194812   0.68   3.45   4.02   4.72   6.31   1.08   1.41   4.54   2.67   2.87
194901   3.67   2.46   0.31  -3.83  -1.33  -1.26   1.01   4.57   4.77   0.31
194902  -1.93  -3.68  -3.43  -4.30  -4.21  -0.30  -3.10  -0.93   0.67  -3.17
194903   3.20   3.41   3.57   6.06   5.82   1.36   4.26   5.50   3.76   4.89
194904  -1.64  -4.22  -3.51   1.29  -3.71  -1.64  -1.63   0.24   1.22  -1.54
194905  -0.42  -2.83  -3.30  -5.63  -5.30  -2.17   1.11  -1.88  -0.57  -2.67
194906   1.01   1.30   0.23  -1.18   0.11   1.13   3.57   2.16  -0.92  -1.37
194907   4.94   9.42   5.93   6.24   6.90   2.41   4.68   6.00   4.74   4.19
194908   3.97   2.32   2.17   5.49   0.75   0.98   1.31   0.19   3.68   1.45
194909   2.83   2.64   3.93   3.03   3.65   1.23   2.16   1.86   4.05   3.40
194910   1.53   7.35   4.33   3.71   3.74   1.88   0.38   3.38   1.31   2.44
194911   1.84   4.76   3.25  -2.77   3.90   1.67   2.38   4.81   3.28   1.21
194912   5.13   8.27   6.48   1.09   9.17   1.59   4.64   8.70   3.25   7.17
195001   1.37   1.88   1.98  -0.64   4.53   1.86   0.01   1.06   3.75   3.19
195002   0.53   3.50   1.95  -0.53   3.40   0.66   1.46   1.92   2.40   1.02
195003  -0.56   1.86   0.81   4.85   2.42   4.57  -0.67  -2.90   0.56  -0.68
195004   0.14  10.56   7.44   3.23   4.73   2.37  -0.28   5.52   0.95   1.50
195005   2.07   6.45   5.99   8.80   0.23   1.97   2.59   3.96   1.83   1.36
195006  -5.69  -4.03  -6.54  -4.52  -7.96  -4.28  -4.51  -4.19  -7.66  -6.79
195007   0.44  -2.72   2.15   8.81  -2.91  -1.32  -0.72  -6.94  -5.23   7.49
195008   3.94   9.23   6.35   4.32   5.26   2.56   4.16   3.68   3.39   2.30
195009   4.88   8.79   4.47   3.53   5.01  -0.46   7.72   6.16   4.51   6.52
195010  -0.37   0.62   0.46   0.29  -1.48   0.21   0.85  -1.76  -0.74  -1.52
195011   0.02  -2.61   5.94   5.28   2.64  -0.24   0.57   4.68  -1.18   3.94
195012   2.83   1.50   6.67   8.68   3.88   1.88   2.87   6.06   3.59  11.04
195101   4.62   9.21   6.14   6.30   7.72   1.88   3.15   3.10   5.04   6.40
195102   0.96   2.80   1.22   0.96   0.92   4.11   3.51   1.46   3.11  -0.41
195103  -2.77   1.19  -3.03  -2.38  -0.91  -1.10  -1.88   1.70  -1.39  -2.84
195104   0.95   3.42   6.84  10.81   3.17   0.85   0.21  10.41   0.22   3.74
195105  -1.27  -5.32  -2.14  -3.01  -2.77  -0.41  -1.64   1.57  -0.05  -3.26
195106  -3.58  -6.83  -3.80   1.09  -1.60  -0.18  -2.40   0.83  -0.41  -5.11
